title,director,producer,release_year,duration_minutes,rating
Castle in the Sky,Hayao Miyazaki,Isao Takahata,1986-01-01,124,95
Grave of the Fireflies,Isao Takahata,Toru Hara,1988-01-01,89,97
My Neighbor Totoro,Hayao Miyazaki,Hayao Miyazaki,1988-01-01,86,93
Kiki's Delivery Service,Hayao Miyazaki,Hayao Miyazaki,1989-01-01,102,96
Only Yesterday,Isao Takahata,Toshio Suzuki,1991-01-01,118,100
Porco Rosso,Hayao Miyazaki,Toshio Suzuki,1992-01-01,93,94
Pom Poko,Isao Takahata,Toshio Suzuki,1994-01-01,119,78
Whisper of the Heart,Yoshifumi Kondō,Toshio Suzuki,1995-01-01,111,91
Princess Mononoke,Hayao Miyazaki,Toshio Suzuki,1997-01-01,134,92
My Neighbors the Yamadas,Isao Takahata,Toshio Suzuki,1999-01-01,104,75
Spirited Away,Hayao Miyazaki,Toshio Suzuki,2001-01-01,124,97
The Cat Returns,Hiroyuki Morita,Toshio Suzuki,2002-01-01,75,89
Howl's Moving Castle,Hayao Miyazaki,Toshio Suzuki,2004-01-01,119,87
Tales from Earthsea,Gorō Miyazaki,Toshio Suzuki,2006-01-01,116,41
Ponyo,Hayao Miyazaki,Toshio Suzuki,2008-01-01,100,92
Arrietty,Hiromasa Yonebayashi,Toshio Suzuki,2010-01-01,94,95
From Up on Poppy Hill,Gorō Miyazaki,Toshio Suzuki,2011-01-01,91,83
The Wind Rises,Hayao Miyazaki,Toshio Suzuki,2013-01-01,126,89
The Tale of the Princess Kaguya,Isao Takahata,Yoshiaki Nishimura,2013-01-01,137,100
When Marnie Was There,Hiromasa Yonebayashi,Yoshiaki Nishimura,2014-01-01,103,92
The Red Turtle,Michaël Dudok de Wit,"Toshio Suzuki, Isao Takahata, Vincent Maraval, Pascal Caucheteux, Grégoire Sorlat",2016-01-01,80,93
Earwig and the Witch,Gorō Miyazaki,Toshio Suzuki,2021-01-01,82,30
